lista_mex,label_2005,label_2019,prefijo,deaths_2005,deaths_2019,crude_2005,crude_2019,crude_change,crude_pct_change,std_2005,std_2019,std_change,std_pct_change,direction_crude,direction_std,flags
28A,Infarto agudo del miocardio,Infarto agudo del miocardio,28,45008,105046,42.3123,82.5732,40.2609,95.15,46.3619,64.5633,18.2014,39.26,up,up,
55,Agresiones (homicidios),Agresiones (homicidios),55,10003,36510,9.4039,28.6993,19.2954,205.19,9.4735,26.1574,16.6839,176.11,up,up,
33B,Neumonía,Neumonía,33,13154,30243,12.3662,23.773,11.4069,92.24,13.1346,19.3946,6.2601,47.66,up,up,
38I,Otras enfermedades del sistema urinario,Otras enfermedades del sistema urinario,38,1564,7136,1.4703,5.6094,4.139,281.51,1.6019,4.4794,2.8774,179.62,up,up,
35O,Otras enfermedades de los intestinos y del peritoneo,Otras enfermedades de los intestinos y del peritoneo,35,3146,7602,2.9576,5.9757,3.0181,102.05,3.2267,4.9248,1.6981,52.63,up,up,
56A,Eventos de intención no determinada,Eventos de intención no determinada,56,2953,6400,2.7761,5.0308,2.2547,81.22,2.7812,4.4165,1.6353,58.8,up,up,
36A,Infecciones de la piel y del tejido subcutáneo,Infecciones de la piel y del tejido subcutáneo,36,6,2490,0.0056,1.9573,1.9517,34600.08,0.0059,1.596,1.5901,26874.3,up,up,LOW_BASE
18,Tumores de comportamiento incierto o desconocido,Tumores de comportamiento incierto o desconocido,18,2713,6389,2.5505,5.0222,2.4717,96.91,2.7321,4.2009,1.4688,53.76,up,up,
27Z,Las demás enfermedades hipertensivas,Las demás enfermedades hipertensivas,27,3673,8207,3.453,6.4512,2.9982,86.83,3.7746,5.2225,1.4479,38.36,up,up,
35Z,Otras enfermedades del sistema digestivo,Otras enfermedades del sistema digestivo,35,3551,7791,3.3383,6.1242,2.7859,83.45,3.6355,4.9394,1.3039,35.87,up,up,
54,Lesiones autoinfligidas intencionalmente,Lesiones autoinfligidas intencionalmente,54,4329,7212,4.0697,5.6691,1.5994,39.3,4.1562,5.4143,1.2581,30.27,up,up,
