prefijo,n_codes,codes,net_std_change,gross_up,gross_down,churn,largest_rise,largest_rise_code,largest_fall,largest_fall_code,reciprocity_flag
30,7,30A|30B|30C|30D|30E|30F|30Z,-6.2715,0.2,6.4715,0.2,0.2,30A,-1.7112,30Z,False
49,6,49A|49B|49C|49D|49E|49Z,-5.0358,0,5.0358,0,0.0,,-4.7039,49B,False
51,7,51A|51B|51C|51D|51E|51F|51Z,-4.5957,0.1636,4.7593,0.1636,0.1615,51E,-3.5976,51Z,False
21,7,21A|21B|21C|21D|21E|21F|21Z,-4.346,0.185,4.531,0.185,0.1834,21F,-4.4735,21C,False
29,4,29A|29B|29D|29Z,-3.944,0.8048,4.7488,0.8048,0.8048,29B,-4.3255,29D,False
48,8,48A|48B|48C|48D|48E|48F|48G|48Z,-3.4211,0.2378,3.6589,0.2378,0.2297,48F,-2.0124,48Z,False
46,11,46A|46B|46C|46D|46E|46F|46G|46H|46I|46J|46Z,-3.3417,0.3178,3.6595,0.3178,0.2915,46G,-2.7122,46F,False
10,3,10A|10B|10Z,-3.081,0.0475,3.1285,0.0475,0.0475,10Z,-2.8267,10B,False
20,8,20A|20B|20C|20D|20E|20F|20G|20Z,-2.6211,0.8417,3.4628,0.8417,0.5978,20Z,-2.9551,20D,False
09,8,09A|09B|09C|09D|09E|09F|09G|09Z,-2.191,1.1569,3.3479,1.1569,0.9065,09D,-1.2954,09B,False
35,17,35A|35B|35C|35D|35E|35F|35G|35H|35I|35J|35K|35L|35M|35N|35O|35P|35Z,-2.1428,4.2539,6.3967,4.2539,1.6981,35O,-4.1837,35L,False
01,7,01B|01C|01D|01E|01F|01G|01H,-1.5233,0.1623,1.6856,0.1623,0.1623,01G,-1.4919,01H,False
22,10,22A|22B|22C|22D|22E|22F|22G|22H|22I|22Z,-1.4332,0.5443,1.9775,0.5443,0.4191,22A,-1.0032,22C,False
12,11,12A|12B|12C|12D|12E|12F|12G|12H|12I|12J|12K,-1.3545,1.2047,2.5592,1.2047,0.3716,12J,-1.7244,12A,False
19,4,19A|19B|19C|19Z,-1.3295,0.1209,1.4504,0.1209,0.1209,19Z,-1.3996,19B,False
06,12,06F|06G|06H|06I|06J|06K|06L|06N|06O|06P|06Q|06Z,-1.2701,0.2662,1.5363,0.2662,0.2238,06G,-0.647,06H,False
31,8,31A|31B|31C|31D|31E|31F|31G|31Z,-1.042,0.0216,1.0636,0.0216,0.0216,31F,-0.5035,31A,False
02,7,02A|02B|02C|02D|02E|02F|02Z,-1.0126,0.0244,1.037,0.0244,0.0131,02B,-0.9023,02A,False
50,1,50,-0.8235,0,0.8235,0,0.0,,-0.8235,50,False
26,2,26A|26B,-0.7045,0.0544,0.7589,0.0544,0.0544,26A,-0.7589,26B,False
15,1,15,-0.5056,0,0.5056,0,0.0,,-0.5056,15,False
43,15,43A|43C|43E|43F|43G|43H|43I|43J|43K|43L|43M|43N|43P|43R|43S,-0.4758,0.093,0.5688,0.093,0.0922,43R,-0.1796,43E,False
05,10,05A|05C|05E|05F|05I|05K|05L|05M|05O|05Z,-0.4188,0.0433,0.4621,0.0433,0.0291,05Z,-0.1856,05L,False
13,4,13A|13B|13C|13Z,-0.3146,0.0224,0.337,0.0224,0.0223,13B,-0.2244,13Z,False
32,9,32A|32B|32C|32D|32F|32G|32H|32I|32Z,-0.3001,0.0182,0.3183,0.0182,0.0121,32G,-0.2019,32D,False
52,1,52,-0.173,0,0.173,0,0.0,,-0.173,52,False
58,1,58,-0.1355,0,0.1355,0,0.0,,-0.1355,58,False
08,1,08,-0.1128,0,0.1128,0,0.0,,-0.1128,08,False
39,4,39A|39B|39C|39F,-0.1053,0.1144,0.2197,0.1144,0.1144,39F,-0.1665,39A,False
47,13,47A|47B|47C|47D|47E|47F|47G|47H|47I|47J|47M|47N|47O,-0.0981,0.7936,0.8917,0.7936,0.4092,47E,-0.6797,47N,False
