anio_archivo,anio_ocurrencia,defunciones
2005,1901,1
2005,1903,1
2005,1905,3
2005,1908,1
2005,1909,1
2005,1911,1
2005,1913,1
2005,1914,1
2005,1915,1
2005,1918,1
2005,1920,1
2005,1921,1
2005,1924,2
2005,1925,3
2005,1926,1
2005,1927,1
2005,1928,3
2005,1929,1
2005,1932,2
2005,1934,2
2005,1937,3
2005,1939,2
2005,1940,2
2005,1941,1
2005,1943,2
2005,1944,2
2005,1945,3
2005,1946,3
2005,1947,4
2005,1948,2
2005,1949,6
2005,1950,6
2005,1951,2
2005,1952,4
2005,1953,2
2005,1954,5
2005,1955,4
2005,1956,4
2005,1957,9
2005,1958,4
2005,1959,7
2005,1960,7
2005,1961,2
2005,1962,6
2005,1963,5
2005,1964,9
2005,1965,11
2005,1966,9
2005,1967,6
2005,1968,6
2005,1969,10
2005,1970,13
2005,1971,9
2005,1972,14
2005,1973,12
2005,1974,17
2005,1975,18
2005,1976,18
2005,1977,13
2005,1978,10
2005,1979,19
2005,1980,17
2005,1981,6
2005,1982,16
2005,1983,17
2005,1984,20
2005,1985,25
2005,1986,19
2005,1987,27
2005,1988,33
2005,1989,22
2005,1990,39
2005,1991,45
2005,1992,63
2005,1993,56
2005,1994,51
2005,1995,74
2005,1996,72
2005,1997,103
2005,1998,73
2005,1999,109
2005,2000,146
2005,2001,161
2005,2002,227
2005,2003,430
2005,2004,7661
2005,2005,485376
2005,desconocido,32
2006,1901,1
2006,1906,3
2006,1908,1
2006,1912,1
2006,1913,1
2006,1914,3
2006,1915,1
2006,1916,1
2006,1918,4
2006,1920,2
2006,1921,2
2006,1922,1
2006,1926,1
2006,1928,1
2006,1929,1
2006,1930,3
2006,1934,3
2006,1935,6
2006,1936,1
2006,1937,1
2006,1938,2
2006,1939,1
2006,1940,4
2006,1941,1
2006,1942,4
2006,1943,3
2006,1944,4
2006,1945,1
2006,1946,2
2006,1947,4
2006,1948,2
2006,1949,3
2006,1950,4
2006,1952,5
2006,1953,6
2006,1954,5
2006,1955,5
2006,1956,6
2006,1957,8
2006,1958,6
2006,1959,1
2006,1960,10
2006,1961,8
2006,1962,6
2006,1963,12
2006,1964,12
2006,1965,11
2006,1966,11
2006,1967,10
2006,1968,15
2006,1969,10
2006,1970,11
2006,1971,9
2006,1972,15
2006,1973,12
2006,1974,16
2006,1975,19
2006,1976,22
2006,1977,15
2006,1978,17
2006,1979,22
2006,1980,15
2006,1981,16
2006,1982,26
2006,1983,17
2006,1984,23
2006,1985,33
2006,1986,18
2006,1987,25
2006,1988,37
2006,1989,31
2006,1990,41
2006,1991,51
2006,1992,57
2006,1993,52
2006,1994,65
2006,1995,62
2006,1996,78
2006,1997,84
2006,1998,92
2006,1999,91
2006,2000,149
2006,2001,140
2006,2002,180
2006,2003,260
2006,2004,442
2006,2005,8792
2006,2006,483178
2006,desconocido,38
2007,1906,1
2007,1907,2
2007,1909,1
2007,1916,1
2007,1917,1
2007,1920,1
2007,1923,1
2007,1924,2
2007,1925,1
2007,1927,2
2007,1928,1
2007,1929,3
2007,1930,2
2007,1931,3
2007,1932,2
2007,1935,1
2007,1937,2
2007,1938,1
2007,1939,2
2007,1943,4
2007,1944,5
2007,1945,2
2007,1946,2
2007,1947,3
2007,1948,1
2007,1949,1
2007,1950,4
2007,1952,1
2007,1953,4
2007,1955,4
2007,1956,1
2007,1957,7
2007,1958,4
2007,1959,2
2007,1960,4
2007,1961,2
2007,1962,4
2007,1963,5
2007,1964,3
2007,1965,5
2007,1966,1
2007,1967,5
2007,1968,3
2007,1969,5
2007,1970,9
2007,1971,5
2007,1972,7
2007,1973,12
2007,1974,9
2007,1975,9
2007,1976,10
2007,1977,10
2007,1978,9
2007,1979,5
2007,1980,9
2007,1981,13
2007,1982,4
2007,1983,15
2007,1984,21
2007,1985,16
2007,1986,18
2007,1987,14
2007,1988,19
2007,1989,13
2007,1990,21
2007,1991,28
2007,1992,34
2007,1993,40
2007,1994,34
2007,1995,50
2007,1996,35
2007,1997,56
2007,1998,53
2007,1999,79
2007,2000,88
2007,2001,107
2007,2002,153
2007,2003,144
2007,2004,224
2007,2005,444
2007,2006,9121
2007,2007,503322
2007,desconocido,48
2008,1907,1
2008,1920,2
2008,1921,1
2008,1923,2
2008,1926,2
2008,1928,1
2008,1929,1
2008,1930,2
2008,1931,2
2008,1932,1
2008,1934,3
2008,1935,2
2008,1936,1
2008,1938,1
2008,1939,1
2008,1940,4
2008,1941,2
2008,1942,2
2008,1943,2
2008,1944,2
2008,1945,3
2008,1947,2
2008,1948,1
2008,1950,2
2008,1952,3
2008,1953,3
2008,1954,1
2008,1955,2
2008,1956,1
2008,1957,1
2008,1958,2
2008,1959,2
2008,1960,2
2008,1961,4
2008,1962,3
2008,1964,4
2008,1965,1
2008,1966,3
2008,1967,4
2008,1968,6
2008,1969,3
2008,1970,7
2008,1971,2
2008,1972,7
2008,1973,6
2008,1974,1
2008,1975,10
2008,1976,6
2008,1977,12
2008,1978,12
2008,1979,13
2008,1980,9
2008,1981,5
2008,1982,10
2008,1983,11
2008,1984,10
2008,1985,11
2008,1986,11
2008,1987,20
2008,1988,22
2008,1989,18
2008,1990,21
2008,1991,28
2008,1992,43
2008,1993,35
2008,1994,30
2008,1995,44
2008,1996,49
2008,1997,43
2008,1998,41
2008,1999,69
2008,2000,143
2008,2001,76
2008,2002,100
2008,2003,117
2008,2004,304
2008,2005,380
2008,2006,506
2008,2007,9086
2008,2008,528093
2008,desconocido,31
2009,1917,2
2009,1920,2
2009,1922,2
2009,1925,1
2009,1926,1
2009,1927,2
2009,1930,2
2009,1931,1
2009,1932,1
2009,1933,1
2009,1935,3
2009,1936,3
2009,1937,1
2009,1938,4
2009,1939,2
2009,1940,4
2009,1941,3
2009,1942,1
2009,1943,1
2009,1944,1
2009,1945,2
2009,1947,2
2009,1948,5
2009,1949,3
2009,1950,2
2009,1952,1
2009,1953,1
2009,1954,3
2009,1955,2
2009,1956,3
2009,1957,7
2009,1958,6
2009,1959,4
2009,1960,7
2009,1961,5
2009,1962,9
2009,1963,6
2009,1964,3
2009,1965,8
2009,1966,8
2009,1967,7
2009,1968,5
2009,1969,10
2009,1970,6
2009,1971,6
2009,1972,11
2009,1973,11
2009,1974,7
2009,1975,13
2009,1976,15
2009,1977,10
2009,1978,12
2009,1979,13
2009,1980,11
2009,1981,14
2009,1982,18
2009,1983,12
2009,1984,16
2009,1985,23
2009,1986,15
2009,1987,17
2009,1988,23
2009,1989,28
2009,1990,32
2009,1991,26
2009,1992,33
2009,1993,52
2009,1994,44
2009,1995,61
2009,1996,52
2009,1997,70
2009,1998,59
2009,1999,72
2009,2000,132
2009,2001,91
2009,2002,96
2009,2003,136
2009,2004,192
2009,2005,260
2009,2006,324
2009,2007,664
2009,2008,9481
2009,2009,552066
2009,desconocido,302
2010,1901,4
2010,1906,1
2010,1908,1
2010,1910,4
2010,1915,1
2010,1917,2
2010,1918,1
2010,1919,2
2010,1923,1
2010,1925,1
2010,1930,1
2010,1936,1
2010,1938,1
2010,1939,2
2010,1940,2
2010,1941,1
2010,1943,3
2010,1944,2
2010,1945,3
2010,1946,3
2010,1948,1
2010,1949,1
2010,1950,3
2010,1952,1
2010,1953,2
2010,1955,3
2010,1956,2
2010,1957,1
2010,1958,2
2010,1959,2
2010,1960,6
2010,1961,2
2010,1962,6
2010,1963,1
2010,1965,4
2010,1966,5
2010,1967,3
2010,1968,4
2010,1969,2
2010,1970,3
2010,1971,4
2010,1972,11
2010,1973,7
2010,1974,7
2010,1975,10
2010,1976,5
2010,1977,7
2010,1978,7
2010,1979,9
2010,1980,4
2010,1981,6
2010,1982,6
2010,1983,12
2010,1984,7
2010,1985,9
2010,1986,10
2010,1987,5
2010,1988,13
2010,1989,15
2010,1990,24
2010,1991,19
2010,1992,19
2010,1993,27
2010,1994,36
2010,1995,41
2010,1996,35
2010,1997,39
2010,1998,35
2010,1999,38
2010,2000,87
2010,2001,59
2010,2002,76
2010,2003,78
2010,2004,103
2010,2005,141
2010,2006,177
2010,2007,314
2010,2008,425
2010,2009,10260
2010,2010,579701
2010,desconocido,39
2011,1901,1
2011,1910,1
2011,1911,11
2011,1920,2
2011,1921,2
2011,1922,3
2011,1923,1
2011,1925,2
2011,1926,1
2011,1927,1
2011,1930,3
2011,1933,2
2011,1936,2
2011,1940,2
2011,1941,1
2011,1942,3
2011,1943,3
2011,1945,3
2011,1946,3
2011,1947,1
2011,1948,2
2011,1949,1
2011,1950,3
2011,1951,2
2011,1952,1
2011,1953,3
2011,1956,2
2011,1957,4
2011,1958,2
2011,1959,1
2011,1960,2
2011,1961,1
2011,1963,1
2011,1964,3
2011,1965,5
2011,1966,4
2011,1967,6
2011,1969,6
2011,1970,5
2011,1971,1
2011,1972,3
2011,1973,3
2011,1974,3
2011,1975,5
2011,1976,4
2011,1977,2
2011,1978,8
2011,1979,7
2011,1980,9
2011,1981,11
2011,1982,11
2011,1983,17
2011,1984,11
2011,1985,13
2011,1986,10
2011,1987,18
2011,1988,14
2011,1989,13
2011,1990,11
2011,1991,24
2011,1992,22
2011,1993,21
2011,1994,33
2011,1995,27
2011,1996,40
2011,1997,39
2011,1998,26
2011,1999,43
2011,2000,48
2011,2001,163
2011,2002,41
2011,2003,71
2011,2004,93
2011,2005,99
2011,2006,150
2011,2007,177
2011,2008,237
2011,2009,432
2011,2010,11825
2011,2011,576662
2011,desconocido,144
2012,1900,1
2012,1901,1
2012,1909,1
2012,1910,1
2012,1911,1
2012,1912,24
2012,1915,1
2012,1920,2
2012,1925,1
2012,1928,1
2012,1929,3
2012,1932,1
2012,1933,1
2012,1936,1
2012,1937,2
2012,1939,1
2012,1940,1
2012,1941,1
2012,1942,2
2012,1943,2
