lista_mex,anio_catalogo,descrip,cambio_vs_anio_previo
01,2005,Enfermedades infecciosas intestinales,
01,2006,Enfermedades infecciosas intestinales,False
01,2007,Enfermedades infecciosas intestinales,False
01,2008,Enfermedades infecciosas intestinales,False
01,2009,Enfermedades infecciosas intestinales,False
01,2010,Enfermedades infecciosas intestinales,False
01,2011,Enfermedades infecciosas intestinales,False
01,2012,Enfermedades infecciosas intestinales,False
01,2013,Enfermedades infecciosas intestinales,False
01,2014,Enfermedades infecciosas intestinales,False
01,2015,Enfermedades infecciosas intestinales,False
01,2016,Enfermedades infecciosas intestinales,False
01,2017,Enfermedades infecciosas intestinales,False
01,2018,Enfermedades infecciosas intestinales,False
01,2019,Enfermedades infecciosas intestinales,False
01,2020,Enfermedades infecciosas intestinales,False
01,2021,Enfermedades infecciosas intestinales,False
01,2022,Enfermedades infecciosas intestinales,False
01,2023,Enfermedades infecciosas intestinales,False
01,2024,Enfermedades infecciosas intestinales,False
01A,2005,Cólera,
01A,2006,Cólera,False
01A,2007,Cólera,False
01A,2008,Cólera,False
01A,2009,Cólera,False
01A,2010,Cólera,False
01A,2011,Cólera,False
01A,2012,Cólera,False
01A,2013,Cólera,False
01A,2014,Cólera,False
01A,2015,Cólera,False
01A,2016,Cólera,False
01A,2017,Cólera,False
01A,2018,Cólera,False
01A,2019,Cólera,False
01A,2020,Cólera,False
01A,2021,Cólera,False
01A,2022,Cólera,False
01A,2023,Cólera,False
01A,2024,Cólera,False
01B,2005,Fiebre tifoidea,
01B,2006,Fiebre tifoidea,False
01B,2007,Fiebre tifoidea,False
01B,2008,Fiebre tifoidea,False
01B,2009,Fiebre tifoidea,False
01B,2010,Fiebre tifoidea,False
01B,2011,Fiebre tifoidea,False
01B,2012,Fiebre tifoidea,False
01B,2013,Fiebre tifoidea,False
01B,2014,Fiebre tifoidea,False
01B,2015,Fiebre tifoidea,False
01B,2016,Fiebre tifoidea,False
01B,2017,Fiebre tifoidea,False
01B,2018,Fiebre tifoidea,False
01B,2019,Fiebre tifoidea,False
01B,2020,Fiebre tifoidea,False
01B,2021,Fiebre tifoidea,False
01B,2022,Fiebre tifoidea,False
01B,2023,Fiebre tifoidea,False
